,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,Rolling Stone,Muddy Waters,BD Music Presents In a Blue Hour,7,42,https://open.spotify.com/track/0UTrGLHAXlUEcV29Buf3pH,0.982,0.626,-17.819,0.482,0.0229,0.0686,171.726,False,6.99e-06,188667,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",blues rock,Blues,1950
1,Please Send Me Someone To Love,Percy Mayfield,The Voice Within: The Speciality Singles 1950-55,22,29,https://open.spotify.com/track/01E7ED1pxNnX6R1cpgFfF5,0.89,0.385,-11.744,0.344,0.184,0.0977,200.683,False,7.05e-06,173907,"['jazz blues', 'rhythm and blues']",rhythm and blues,R&B,1950
2,Teardrops from My Eyes,Ruth Brown,Ruth Brown,25,14,https://open.spotify.com/track/2102lBBn1EJc6PdnYLXG0X,0.276,0.589,-15.363,0.79,0.34,0.0839,141.569,False,0.0,175587,"['jazz blues', 'jump blues', 'rhythm and blues']",jump blues,Blues,1950
3,Mona Lisa,Nat King Cole,Unforgettable,58,12,https://open.spotify.com/track/5dae01pKNjRQtgOeAkFzPY,0.952,0.241,-12.201,0.303,0.237,0.113,174.578,False,0.0,194987,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']",lounge,Jazz,1950
4,Tennessee Waltz,Patti Page,Golden Hits,48,12,https://open.spotify.com/track/0BHroBUvBAp561BYqC9LRK,0.969,0.373,-12.95,0.351,0.124,0.123,86.857,False,0.000891,185000,"['adult standards', 'easy listening']",easy listening,Pop,1950
5,Long Gone Lonesome Blues,Drifting Cowboys,Moanin' The Blues (Expanded Edition),43,12,https://open.spotify.com/track/1jy7k4URSRJeO0N2aMzj5R,0.687,0.717,-11.028,0.742,0.327,0.0973,122.615,False,0.0,159707,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1950
6,Mardi Gras in New Orleans - Mono,Professor Longhair,New Orleans Piano (Mono),33,13,https://open.spotify.com/track/21cQzMJzLseYq3Q0Di3XqK,0.928,0.516,-11.448,0.72,0.338,0.13,112.781,False,0.098,173662,"['boogie-woogie', 'louisiana blues', 'memphis blues', 'new orleans blues', 'new orleans soul', 'piano blues', 'traditional blues']",louisiana blues,Blues,1950
7,I'm Movin' On,Hank Snow,The Essential Hank Snow,39,20,https://open.spotify.com/track/5A3PWXcB0sFVjOVAYLQR2h,0.666,0.584,-8.196,0.936,0.7,0.24,97.605,False,0.000288,168173,['traditional country'],traditional country,Country,1950
8,Double Crossing Blues,Johnny Otis,"The Master Recordings, Vol. 2 - Savoy On Central Ave.",9,10,https://open.spotify.com/track/1BrdQhQ3QItrCnqyHSVnce,0.816,0.427,-12.852,0.532,0.188,0.109,75.364,False,7.58e-06,169360,"['jazz blues', 'jump blues', 'rhythm and blues']",jump blues,Blues,1950
9,Moanin' The Blues,Drifting Cowboys,Moanin' The Blues (Expanded Edition),37,12,https://open.spotify.com/track/0fBOgcY9wZVXgGNANMtp9j,0.653,0.709,-12.444,0.89,0.28,0.152,76.073,False,0.0,145533,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1950
10,Pink Champagne (01-20-50),Joe Liggins,1948-1950,5,24,https://open.spotify.com/track/1C0pkTfJcnSGHolVYtHt1u,0.897,0.656,-9.544,0.727,0.347,0.108,99.321,False,3.64e-05,183040,"['jazz blues', 'jump blues', 'piano blues', 'rhythm and blues']",jump blues,Blues,1950
11,"Bad, Bad Whiskey",Amos Milburn,Let's Have A Party! (The Aladdin Recordings),25,29,https://open.spotify.com/track/1XByDNjGTqsqkl7tLKOKYN,0.974,0.874,-10.5,0.658,0.246,0.132,115.146,False,0.0111,175093,"['jump blues', 'piano blues', 'rhythm and blues']",piano blues,Blues,1950
12,Count Every Star,The Ravens,Old Man River,24,15,https://open.spotify.com/track/6ZDn0Z5RMWg9UbBzkuCTqt,0.968,0.317,-15.541,0.42,0.217,0.0972,140.487,False,2.3e-06,175600,"['doo-wop', 'rhythm and blues', 'vocal harmony group']",rhythm and blues,R&B,1950
13,Why Don't You Love Me - Single Version,Drifting Cowboys,The Complete Hank Williams,27,225,https://open.spotify.com/track/1tUMwgjjD5VBFM1eTtrIO5,0.523,0.777,-10.101,0.95,0.362,0.0674,140.27,False,0.0,143640,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1950
14,Goodnight Irene,The Weavers,The Excellence Of,20,20,https://open.spotify.com/track/3dY8hcWemd21HzZoEf9zU8,0.854,0.343,-10.755,0.525,0.248,0.199,140.147,False,0.0,201627,"['american folk revival', 'folk']",folk,Folk,1950
15,"Music, Music, Music",Teresa Brewer,"Music, Music, Music",20,28,https://open.spotify.com/track/4LVy2nxwMiuL4XfqxdyypN,0.351,0.753,-8.11,0.886,0.582,0.127,97.874,False,3.89e-06,172173,['deep adult standards'],deep adult standards,Alternative,1950
16,Oh Babe,Louis Prima,The Golden Hits Of Louis Prima,0,10,https://open.spotify.com/track/7HtOqHp2WHUc6BQgTmiTlq,0.916,0.596,-10.624,0.832,0.584,0.112,171.054,False,0.0188,127360,[],lounge,Jazz,1950
17,Love Don't Love Nobody,Roy Brown,Blues Deluxe,18,24,https://open.spotify.com/track/05VmTSzi3U9z09B2caCD00,0.82,0.547,-6.555,0.886,0.574,0.193,152.985,False,0.0,164360,['jump blues'],jump blues,Blues,1950
18,Blue Light Boogie,Louis Jordan,The Best Of Louis Jordan,19,20,https://open.spotify.com/track/0rCwT3Jk4jqxaRXoxIM7Kx,0.846,0.826,-7.889,0.714,0.473,0.0799,98.417,False,2.69e-06,308240,"['rhythm and blues', 'swing', 'tin pan alley']",swing,Jazz,1950
19,Bon Ton Roula (Bon Ton Roula),Clarence Garlow,Bon Ton Roula,2,10,https://open.spotify.com/track/7BHPXfa3rU6H5mVykRY9dS,0.875,0.615,-12.094,0.962,0.663,0.0651,128.53,False,0.00267,197120,"['jump blues', 'swamp blues']",swamp blues,Blues,1950
20,Bald Head,Roy Byrd,"Saga Blues: New Orleans Rhythm and Blues ""Good Rockin' Tonight""",2,22,https://open.spotify.com/track/1KK2lTgOGajNXbPB1WI16s,0.941,0.481,-12.705,0.822,0.386,0.202,154.283,False,0.0012,153973,[],rhythm and blues,R&B,1950
21,Safronia B,Calvin Boze and His All Stars,Jump Blue: Rockin' The Jukes,31,26,https://open.spotify.com/track/27kwBNU1VWNRPjFxvz8EOt,0.8,0.539,-9.085,0.864,0.483,0.314,167.484,False,0.0341,144307,[],rhythm and blues,R&B,1950
22,Rollin' And Tumblin',Muddy Waters,After The Rain,37,8,https://open.spotify.com/track/61jqhIAyuxQarayIki3Ko4,0.0109,0.52,-7.464,0.783,0.659,0.169,114.722,False,0.108,290027,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",blues rock,Blues,1950
23,Blue Shadows,Lowell Fulson,Do Me Right,1,17,https://open.spotify.com/track/1Hd3w1j1JPgzng5G2BtVs7,0.361,0.495,-13.191,0.78,0.435,0.353,87.434,False,1.22e-05,147840,"['acoustic blues', 'blues', 'electric blues', 'jump blues', 'soul blues', 'texas blues', 'traditional blues']",blues,Blues,1950
24,Foggy Mountain Breakdown,Lester Flatt,Country Music (Original Soundtrack Plus Bonus Tracks 1958),12,14,https://open.spotify.com/track/5RDMWl8mkh99CrFTuVT0Ss,0.0885,0.371,-5.296,0.957,0.936,0.323,159.736,False,0.854,160960,"['bluegrass', 'bluegrass gospel', 'instrumental bluegrass', 'traditional country']",bluegrass gospel,Bluegrass,1950
25,Stack-A'Lee,Archibald,"Saga Blues: New Orleans Rhythm and Blues ""Good Rockin' Tonight""",3,22,https://open.spotify.com/track/141cfH3W9II7dWJexC8fBx,0.991,0.802,-15.019,0.785,0.206,0.124,125.915,False,0.895,270213,['new orleans soul'],new orleans soul,Soul,1950
26,Every Night About This Time,Fats Domino,They Call Me The Fat Man (The Legendary Imperial Recordings),7,100,https://open.spotify.com/track/1SedMaYnH6cJCvYEpcElmD,0.978,0.553,-11.692,0.763,0.314,0.151,114.078,False,0.0313,133333,"['louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly']",new orleans blues,Blues,1950
27,Carnival Day (02-?-50),Dave Bartholomew,1947-1950,7,19,https://open.spotify.com/track/4uNNfIgXPxJY51Ikcy3I2o,0.917,0.788,-8.168,0.821,0.679,0.2,123.923,False,0.213,167173,['new orleans soul'],new orleans soul,Soul,1950
28,I Like My Babyâs Pudding,Wynonie Harris,28 Big Ones,10,28,https://open.spotify.com/track/2fcVHuv5SVDUYkImWDn5PS,0.953,0.671,-12.305,0.699,0.348,0.152,74.039,False,0.0,162773,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1950
29,She Walks Right In,Professor Longhair,Tipitina,2,13,https://open.spotify.com/track/19pHIHUqVPkC1n2PR0GH7O,0.85,0.621,-15.462,0.637,0.311,0.227,110.572,False,0.0,168520,"['boogie-woogie', 'louisiana blues', 'memphis blues', 'new orleans blues', 'new orleans soul', 'piano blues', 'traditional blues']",louisiana blues,Blues,1950
30,Rock Mr. Blues,Wynonie Harris,Good Rocking Tonight,14,20,https://open.spotify.com/track/0Qw3pj1xwb4JpsBovzxrjv,0.723,0.439,-8.94,0.715,0.742,0.312,170.262,False,0.0,162827,"['jump blues', 'rhythm and blues']",rhythm and blues,R&B,1950
31,Cadillac Baby,Roy Brown,Blues Deluxe,15,24,https://open.spotify.com/track/28gv39aVtj109n26HKk5FS,0.711,0.423,-6.968,0.876,0.432,0.153,168.33,False,0.0,178347,['jump blues'],jump blues,Blues,1950
32,Why Do Things Happen to Me,Roy Hawkins,The Thrill Is Gone,0,24,https://open.spotify.com/track/4BtWu08LeQHWCmyWkhslgq,0.885,0.443,-11.155,0.436,0.193,0.0996,200.897,False,1.14e-06,180453,"['jump blues', 'piano blues']",piano blues,Blues,1950
33,Tee Nah Nah,Smiley Lewis,Mama Don't Like It! 1950-1956,5,33,https://open.spotify.com/track/5JA7er4vw5rIy0vKOVYAd6,0.962,0.665,-9.24,0.666,0.281,0.126,96.52,False,0.776,132827,"['jump blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues']",louisiana blues,Blues,1950
34,Everyday I Have The Blues,Lowell Fulson,The Best Of,6,26,https://open.spotify.com/track/11S9bSHC5PBHlshOa8fBxs,0.939,0.484,-13.568,0.529,0.197,0.0794,78.218,False,0.224,151600,"['acoustic blues', 'blues', 'electric blues', 'jump blues', 'soul blues', 'texas blues', 'traditional blues']",blues,Blues,1950
35,Shotgun Boogie,Tennessee Ernie Ford,Sixteen Tons,10,20,https://open.spotify.com/track/3u5cXqkQ3NPzoRmqOpXhde,0.686,0.671,-10.256,0.841,0.57,0.111,175.527,False,0.0116,155520,"['bluegrass gospel', 'country boogie', 'country gospel', 'western swing', 'yodeling']",country boogie,Country,1950
36,If You've Got the Money I've Got the Time,Lefty Frizzell,"The Complete Columbia Recording Sessions, Vol. 1 - 1950-1951",46,24,https://open.spotify.com/track/3jvNwwHkWjELV3QALVz47D,0.83,0.545,-10.091,0.951,0.392,0.0903,208.426,False,9.41e-05,179307,"['arkansas country', 'classic country pop', 'honky tonk', 'traditional country', 'western swing']",classic country pop,Country,1950
37,Little Red Rooster,The Griffin Brothers,Little Red Rooster,1,1,https://open.spotify.com/track/0akLKftqDsrVKG8rFETHOZ,0.797,0.576,-11.701,0.531,0.514,0.337,136.987,False,4.65e-06,189753,['rhythm and blues'],rhythm and blues,R&B,1950
38,Information blues,Roy Milton and His Solid Senders,Rhythm & Blues from California 1945-1949 (feat. Camille Howard) [Remastered Historical Recordings],1,20,https://open.spotify.com/track/3n0RCPS62xv0ALqLPF2Fc6,0.225,0.508,-9.065,0.803,0.454,0.0651,127.118,False,4.61e-05,163667,[],rhythm and blues,R&B,1950
39,I Need You So,Ivory Joe Hunter,I Need You So,0,1,https://open.spotify.com/track/0OXxiIPOdXdc9tfx5KjRZx,0.942,0.158,-21.379,0.135,0.116,0.11,62.121,False,0.316,198348,"['doo-wop', 'jazz blues', 'piano blues', 'rhythm and blues']",jazz blues,Blues,1950
40,I'll Never Be Free,Paul Gayten & Annie Laurie,Ain't Nothin' Happenin' - Cool Jump Blues,2,30,https://open.spotify.com/track/7lfcHRmkvON4DFeqqPgKZ0,0.959,0.545,-11.475,0.299,0.176,0.361,72.386,False,8.81e-05,182013,"['new orleans soul', 'rhythm and blues']",rhythm and blues,R&B,1950
41,"Anytime, Anyplace, Anywhere",Joe Morris,"Anytime, Anyplace, Anywhere",1,1,https://open.spotify.com/track/5lNGiLSfsd5xIOXaLsz7uT,0.964,0.347,-12.985,0.405,0.143,0.203,199.961,False,1.81e-05,186802,"['free jazz', 'modern free jazz']",modern free jazz,Jazz,1950
42,Hard Luck Blues,Roy Brown,Presenting Roy Brown,15,49,https://open.spotify.com/track/1KvTKwW5bnTlPHZCfIN3VI,0.834,0.47,-11.061,0.388,0.156,0.169,139.09,False,1.01e-05,182320,['jump blues'],jump blues,Blues,1950
43,Well Oh Well,Tiny Bradshaw & His Orchestra,"Heavy Juice, The King Recordings 1950-55",8,32,https://open.spotify.com/track/7ChX0DDPbcwJf8lf7MDTSw,0.589,0.69,-3.903,0.809,0.904,0.0992,107.083,False,0.0,161347,[],rhythm and blues,R&B,1950
