,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,Let It Be ,The Beatles,Let It Be (Remastered),81,12,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,0.631,0.443,-8.339,0.41,0.403,0.111,143.462,False,0.0,243027,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",british invasion,Rock,1970
1,Cecilia,Simon & Garfunkel,Bridge Over Troubled Water,78,11,https://open.spotify.com/track/6QhXQOpyYvbpdbyjgAqKdY,0.357,0.755,-8.867,0.954,0.876,0.22,102.762,False,5.17e-06,174827,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",folk,Folk,1970
2,Son of a Preacher Man,Aretha Franklin,The Queen Of Soul,40,87,https://open.spotify.com/track/2BhrrVRC8CoiWejbzj0VjQ,0.545,0.474,-11.454,0.561,0.473,0.0356,77.583,False,1.25e-06,199267,"classic soul, jazz blues, memphis soul, neo soul, soul, southern soul, vocal jazz",jazz blues,Blues,1970
3,Who'll Stop The Rain,Creedence Clearwater Revival,Cosmo's Factory (Expanded Edition),66,14,https://open.spotify.com/track/3Bh6uInhcVBVvLraGZdkKD,0.0424,0.598,-6.793,0.622,0.797,0.0717,123.566,False,0.000407,147493,"classic rock, country rock, rock, southern rock, swamp rock",country rock,Rock,1970
4,Big Yellow Taxi,Joni Mitchell,Ladies of the Canyon,1,12,https://open.spotify.com/track/6UkMcAA19lTdjs22jtB7o2,0.579,0.611,-9.135,0.97,0.47,0.581,85.527,False,0.0,134800,"canadian singer-songwriter, folk, folk rock, singer-songwriter",folk,Folk,1970
5,I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,82,12,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S,0.305,0.469,-13.559,0.886,0.538,0.37,196.605,False,0.00012,176333,"motown, soul",soul,Soul,1970
6,Instant Karma! (We All Shine On) ,John Lennon  & Yoko Ono,Plastic Ono Band (The Ultimate Collection),46,120,https://open.spotify.com/track/0NgFZWdvnv218PVnY4I8UT,0.000638,0.605,-7.351,0.442,0.948,0.214,119.717,False,0.000136,200653,"beatlesque, classic rock, rock",classic rock,Rock,1970
7,(They Long To Be) Close To You,Carpenters,Close To You,65,12,https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA,0.707,0.532,-14.652,0.238,0.244,0.122,89.327,False,4.56e-05,276000,"adult standards, mellow gold, soft rock",mellow gold,Pop,1970
8,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,"Signed, Sealed And Delivered",81,12,https://open.spotify.com/track/2eF8pWbiivYsYRpbntYsnc,0.0534,0.675,-11.329,0.828,0.597,0.0986,108.875,False,0.0,161160,"motown, soul",soul,Soul,1970
9,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,79,17,https://open.spotify.com/track/0jvN7eQJJt4nxQzgQfZ1SP,0.0994,0.609,-7.091,0.543,0.617,0.118,128.903,False,0.00404,242893,classic rock,classic rock,Rock,1970
10,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,78,9,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh,0.403,0.568,-4.613,0.753,0.824,0.0855,108.625,False,0.0,174760,pop,pop,Pop,1970
11,Into the Mystic ,Van Morrison,Moondance,78,10,https://open.spotify.com/track/3lh3iiiJeiBXHSZw6u0kh6,0.367,0.608,-10.266,0.797,0.524,0.115,86.204,False,0.00254,205613,"classic rock, folk, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",folk,Folk,1970
12,Paranoid ,Black Sabbath,Paranoid (Remaster),77,8,https://open.spotify.com/track/1Y373MqadDRtclJNdnUXVc,4.52e-05,0.412,-12.051,0.454,0.658,0.176,163.071,False,0.000774,168406,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",alternative metal,Rock,1970
13,Roadhouse Blues,The Doors,Morrison Hotel,76,11,https://open.spotify.com/track/1Q5kgpp4pmyGqPwNBzkSrw,0.336,0.623,-8.212,0.895,0.633,0.147,121.119,False,4.6e-05,243827,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock",album rock,Rock,1970
