,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,(What A) Wonderful World,Sam Cooke,The Wonderful World Of Sam Cooke,75,18,https://open.spotify.com/track/2G0GextMwZJLkNxcSZ7ZJ3,0.7,0.686,-5.523,0.857,0.672,0.135,128.55,False,0.0,128787,"classic soul, soul, vocal jazz",soul,Soul,1960
1,The Twist,Chubby Checker,Dancin' Party: The Chubby Checker Collection (1960-1966),65,21,https://open.spotify.com/track/4YCnTYbq3oL1Lqpyxg33CU,0.18,0.571,-5.682,0.852,0.618,0.178,156.892,False,2.69e-06,155040,"rock-and-roll, rockabilly",rockabilly,Rock,1960
2,I'm Sorry,Brenda Lee,Brenda Lee,57,12,https://open.spotify.com/track/4LJcNiq2pBb8OeqrGdBJQw,0.868,0.558,-12.362,0.303,0.223,0.13,101.711,False,0.000972,161547,"adult standards, easy listening, lounge, rockabilly",easy listening,Pop,1960
3,Georgia on My Mind,Ray Charles,Ray Charles,51,15,https://open.spotify.com/track/4DEAiNBvq5yBy7NzpVc02h,0.861,0.288,-8.06,0.201,0.316,0.188,130.939,False,0.0,215120,"classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz",jazz blues,Blues,1960
4,Puppy Love,Paul Anka,Will You Still Love Me Tomorrow (Cruisin' 1960),46,15,https://open.spotify.com/track/2Y7A6mOC5Qtco2gpDGGM7g,0.424,0.24,-6.84,0.515,0.452,0.32,203.227,False,0.0,163320,"adult standards, canadian pop, easy listening, rock-and-roll",canadian pop,Pop,1960
5,Sad Mood,Sam Cooke,The Best of Sam Cooke,37,14,https://open.spotify.com/track/1XYNrxsbgkDdPtTQLJhqNd,0.375,0.528,-11.46,0.809,0.388,0.115,100.148,False,0.0,160433,"classic soul, soul, vocal jazz",soul,Soul,1960
6,Cathy's Clown,The Everly Brothers,The Golden Hits of The Everly Brothers,50,12,https://open.spotify.com/track/1MA9StLzlFftLbuqOmoWij,0.412,0.497,-8.961,0.866,0.582,0.372,119.808,False,0.0,144013,"adult standards, folk rock, mellow gold, rock-and-roll, rockabilly, sunshine pop",folk rock,Rock,1960
7,It's Now or Never,Elvis Presley,Elvis 30 #1 Hits,58,31,https://open.spotify.com/track/1XunTmhOcj3xwh4b8P3isX,0.642,0.643,-9.312,0.753,0.491,0.286,126.399,False,0.00972,194600,"rock-and-roll, rockabilly",rockabilly,Rock,1960
8,Only the Lonely,Roy Orbison,Sings Lonely and Blue,67,12,https://open.spotify.com/track/0PkBTqRtN25z3oKasWoKlj,0.377,0.57,-10.769,0.934,0.529,0.203,123.273,False,0.00509,145533,"adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",classic rock,Rock,1960
9,He'll Have to Go,Jim Reeves,The Essential Jim Reeves,52,40,https://open.spotify.com/track/7DH5dXVuQaqcKf9oTy9oUN,0.909,0.554,-15.846,0.2,0.186,0.11,81.181,False,0.00144,138640,nashville sound,nashville sound,Country,1960
10,Will You Love Me Tomorrow,The Shirelles,Remember When,68,30,https://open.spotify.com/track/25IiJu0DjOqsnQXgNHWp5i,0.551,0.527,-11.809,0.514,0.308,0.0921,136.297,False,4.25e-05,160865,"classic girl group, doo-wop, motown, rock-and-roll, soul",doo-wop,R&B,1960
11,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,The Bashful Blond,57,12,https://open.spotify.com/track/4aTCNddtjztjuK2EOgz7ZZ,0.558,0.814,-11.543,0.964,0.427,0.0248,123.109,False,0.0,143733,"bubblegum pop, doo-wop, merseybeat, rock-and-roll",doo-wop,R&B,1960
12,Apache,The Shadows,Another String of Hot Hits (And More!),59,20,https://open.spotify.com/track/0sZy1HE2aGBQABHfVRQ4jB,0.0106,0.595,-12.987,0.779,0.451,0.0962,133.671,False,0.929,174187,"british invasion, rock-and-roll",rock-and-roll,Rock,1960
13,Ramona,The Blue Diamonds,Het Beste van The Blue Diamonds,43,14,https://open.spotify.com/track/2Xt3YSFvqe5AzRbVrETVbv,0.152,0.493,-9.824,0.657,0.603,0.147,139.13,False,9.23e-05,147924,"indorock, nederpop",nederpop,Pop,1960
14,Poetry In Motion,Johnny Tillotson,The EP Collection,35,30,https://open.spotify.com/track/3upWR9m4NpNGFb9SZxtMs5,0.376,0.523,-8.85,0.84,0.573,0.129,138.508,False,9.31e-05,150760,"doo-wop, merseybeat, nashville sound, rock-and-roll",merseybeat,Pop,1960
15,Good Timin',Jimmy Jones,Good Timin',43,12,https://open.spotify.com/track/52BR7Vx8Zh3BENnHztAE5Q,0.609,0.552,-7.682,0.971,0.562,0.093,147.384,False,0.000125,128480,"doo-wop, rhythm and blues",rhythm and blues,R&B,1960
16,Alley Oop,The Hollywood Argyles,Presenting The Hollywood Argyles,35,20,https://open.spotify.com/track/2bgl6miORpyE4ql0gl7KHR,0.809,0.584,-9.562,0.944,0.476,0.0915,63.325,False,0.0,161440,novelty,novelty,Soundtrack,1960
17,Everybody's Somebody's Fool,Connie Francis,Gold,52,50,https://open.spotify.com/track/1qC8zQRrdkZCwzQ5N4ECoD,0.745,0.584,-4.643,0.753,0.737,0.208,84.322,False,1.93e-05,157880,"adult standards, brill building pop, easy listening, rock-and-roll, rockabilly",brill building pop,Pop,1960
18,A Mess of Blues,Elvis Presley,"Elvis' Gold Records, Vol. 4",46,14,https://open.spotify.com/track/4dNfypQwue0e46rQTdBU1Q,0.763,0.645,-11.434,0.862,0.505,0.139,117.257,False,4.6e-05,161067,"rock-and-roll, rockabilly",rockabilly,Rock,1960
19,"Walk, Don't Run",The Ventures,Walk Don't Run - All-Time Greatest Hits,44,12,https://open.spotify.com/track/74Qp7hzjPFQZUBMpNDqUIM,0.566,0.466,-8.61,0.955,0.861,0.22,154.928,False,0.0595,126733,surf music,surf music,Rock,1960
20,North to Alaska,Johnny Horton,Johnny Horton - 16 Biggest Hits,44,16,https://open.spotify.com/track/4mCB2FpWvmT3GcXUWyn0gs,0.711,0.646,-14.064,0.903,0.374,0.256,82.947,False,0.0,170240,"classic country pop, cowboy western",cowboy western,Country,1960
21,Are You Lonesome Tonight?,Elvis Presley,Elvis 30 #1 Hits,52,31,https://open.spotify.com/track/4wM7V31TsZzzDBEH02Hltb,0.917,0.421,-12.399,0.188,0.201,0.116,129.689,False,0.000436,186507,"rock-and-roll, rockabilly",rockabilly,Rock,1960
22,Marina,Rocco Granata,20 Hits,59,20,https://open.spotify.com/track/3pFT1UfjSdKwjIS0tWg7ka,0.574,0.66,-14.265,0.894,0.419,0.0719,103.154,False,0.00296,166187,classic italian pop,classic italian pop,Pop,1960
23,Save the Last Dance for Me,The Drifters,Save the Last Dance for Me,67,12,https://open.spotify.com/track/391TUcoPonqYykPkSZ5Z9U,0.614,0.54,-10.583,0.896,0.53,0.198,143.453,False,0.0,154960,"adult standards, doo-wop, rock-and-roll, rockabilly, soul",doo-wop,R&B,1960
