,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,Blinding Lights,The Weeknd,Blinding Lights,21,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.00147,0.513,-4.075,0.345,0.796,0.0938,171.017,FALSE,0.000209,201573,"canadian contemporary r&b, canadian pop, pop",canadian pop,Pop,2020
1,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,85,16,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,-6.687,0.642,0.586,0.79,116.971,TRUE,0,196653,"melodic rap, rap, trap",rap,Hip-Hop,2020
2,positions,Ariana Grande,positions,2,1,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7,0.468,0.736,-4.759,0.675,0.802,0.094,144.005,TRUE,0,172325,pop,pop,Pop,2020
3,Say So,Doja Cat,Hot Pink,81,12,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.264,0.787,-4.583,0.779,0.673,0.0904,110.962,TRUE,3.35E-06,237893,"dance pop, pop",pop,Pop,2020
4,Watermelon Sugar,Harry Styles,Fine Line,92,12,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,-4.209,0.557,0.816,0.335,95.39,FALSE,0,174000,pop,pop,Pop,2020
5,cardigan,Taylor Swift,folklore,55,16,https://open.spotify.com/track/4LEK9rD7TWIG4FCL1s27XC,0.537,0.613,-8.588,0.551,0.581,0.25,130.033,FALSE,0.000345,239560,pop,pop,Pop,2020
6,death bed (coffee for your head),Powfu  & beabadoobee,death bed (coffee for your head),84,1,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.731,0.726,-8.765,0.348,0.431,0.696,144.026,FALSE,0,173333,"sad lo-fi, sad rap",sad rap,Hip-Hop,2020
7,ROXANNE,Arizona Zervas,ROXANNE,80,1,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,0.0522,0.621,-5.616,0.457,0.601,0.46,116.735,TRUE,0,163636,"pop rap, rhode island rap",rhode island rap,Hip-Hop,2020
8,Mood (feat. iann dior),24kGoldn  & iann dior,Mood (feat. iann dior),7,1,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,0.221,0.7,-3.558,0.756,0.722,0.272,90.989,TRUE,0,140526,cali rap,cali rap,Hip-Hop,2020
9,WAP (feat. Megan Thee Stallion),Cardi B  & Megan Thee Stallion,WAP (feat. Megan Thee Stallion),82,1,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,-7.509,0.357,0.454,0.0824,133.073,TRUE,0,187541,"pop, rap",rap,Hip-Hop,2020
