,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,87,10,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,0.0134,0.635,-5.379,0.424,0.841,0.0622,109.021,False,0.0,220734,"dance pop, pop",pop,Pop,2010
1,Love The Way You Lie,Eminem  & Rihanna,Recovery,86,17,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,0.241,0.749,-5.034,0.641,0.925,0.52,86.989,True,0.0,263373,"detroit hip hop, hip hop, rap",hip hop,Hip-Hop,2010
2,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),85,23,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,0.00314,0.696,-3.755,0.714,0.921,0.0842,119.001,True,5.24e-05,294573,"art pop, dance pop, pop",dance pop,Pop,2010
3,Alors on danse - Radio Edit,Stromae,Cheese,82,12,https://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko,0.0994,0.791,-9.206,0.714,0.59,0.065,119.951,False,0.00203,206067,"belgian pop, g-house",g-house,EDM,2010
4,TiK ToK,Kesha,Animal (Expanded Edition),86,18,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,0.0991,0.755,-2.718,0.714,0.837,0.289,120.028,False,0.0,199693,"dance pop, pop",pop,Pop,2010
5,Memories (feat. Kid Cudi),David Guetta  & Kid Cudi,One Love (Deluxe),72,31,https://open.spotify.com/track/4dTaAiV9xFFCxnPur9c9yL,0.0015,0.561,-6.103,0.498,0.87,0.246,129.98,False,2.82e-06,210093,"big room, dance pop, edm, pop, pop dance",dance pop,Pop,2010
6,Dynamite,Taio Cruz,The Rokstarr Hits Collection,82,15,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,0.00379,0.751,-3.724,0.816,0.783,0.036,119.975,False,0.0,202613,"dance pop, pop, pop rap",pop,Pop,2010
7,Only Girl (In The World),Rihanna,Loud (Japan Version),85,13,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,0.112,0.789,-4.233,0.638,0.706,0.0586,125.911,False,1.71e-05,235493,"barbadian pop, pop, urban contemporary",pop,Pop,2010
8,California Gurls,Katy Perry  & Snoop Dogg,Teenage Dream: The Complete Confection,79,19,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,0.00446,0.791,-3.729,0.425,0.754,0.163,125.014,False,0.0,234653,pop,pop,Pop,2010
9,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",86,19,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,0.185,0.673,-4.44,0.795,0.886,0.0826,97.012,False,0.0,216773,"dance pop, neo mellow, pop, pop rock",neo mellow,Rock,2010
