,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
0,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,82,12.0,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,0.3,0.751,-5.444,0.894,0.834,0.355,95.053,False,1.77e-05,211160,"dance pop, pop",pop,Pop,2000
1,All The Small Things,blink-182,Enema Of The State,86,12.0,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,0.0103,0.434,-4.918,0.684,0.897,0.612,148.726,False,0.0,167067,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",modern rock,Rock,2000
2,Breathe,Faith Hill,Breathe,71,13.0,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe,0.173,0.529,-9.007,0.278,0.496,0.251,136.859,False,0.0,250547,"contemporary country, country, country dawn, country road",country,Country,2000
3,It's My Life,Bon Jovi,Crush,84,12.0,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,0.0263,0.551,-4.063,0.544,0.913,0.347,119.992,False,1.35e-05,224493,"glam metal, rock",rock,Rock,2000
4,Bye Bye Bye,*NSYNC,No Strings Attached,75,12.0,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,0.031,0.61,-4.843,0.861,0.926,0.0821,172.638,False,0.0012,200400,"boy band, dance pop, pop",dance pop,Pop,2000
5,Thong Song,Sisqo,Unleash The Dragon,74,13.0,https://open.spotify.com/track/5Mmk2ii6laakqfeCT7OnVD,0.119,0.706,-6.959,0.714,0.888,0.07,121.549,True,9.64e-05,253733,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary",dirty south rap,Hip-Hop,2000
6,The Real Slim Shady,Eminem,The Marshall Mathers LP,90,18.0,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,0.0302,0.949,-4.244,0.76,0.661,0.0454,104.504,True,0.0,284200,"detroit hip hop, hip hop, rap",hip hop,Hip-Hop,2000
7,Rock DJ,Robbie Williams,Sing When You're Winning,59,13.0,https://open.spotify.com/track/7oQSevUCbYs4QawXTHQVV1,0.026,0.712,-4.307,0.842,0.762,0.0981,103.032,False,0.0,260560,"dance rock, europop",europop,Pop,2000
8,Say My Name,Destiny's Child,The Writing's On The Wall,81,16.0,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,0.273,0.713,-3.525,0.734,0.678,0.149,138.009,False,0.0,271333,"dance pop, girl group, pop, r&b, urban contemporary",girl group,R&B,2000
9,Yellow,Coldplay,Parachutes,93,10.0,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,0.00239,0.429,-7.227,0.285,0.661,0.234,173.372,False,0.000121,266773,"permanent wave, pop",pop,Pop,2000
10,In the End,Linkin Park,Hybrid Theory (Bonus Edition),89,15.0,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,-5.87,0.4,0.864,0.209,105.143,False,0.0,216880,"alternative metal, nu metal, post-grunge, rap metal, rock",nu metal,Heavy Metal,2000
11,Maria Maria (feat. The Product G&B),Santana  & The Product G&B,Supernatural (Remastered),86,14.0,https://open.spotify.com/track/3XKIUb7HzIF1Vu9usunMzc,0.0406,0.777,-5.931,0.68,0.601,0.0348,97.911,False,0.00201,261973,"blues rock, classic rock, mexican classic rock",classic rock,Rock,2000
12,The Next Episode,Dr. Dre  & Snoop Dogg,2001,84,23.0,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC,0.0281,0.922,-2.429,0.309,0.909,0.0856,95.295,True,0.0,161507,"g funk, gangster rap, hip hop, rap, west coast rap",gangster rap,Hip-Hop,2000
13,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),84,18.0,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,0.00316,0.458,-3.265,0.513,0.795,0.0756,123.229,False,0.000202,255373,"alternative rock, funk metal, funk rock, permanent wave, rock",funk metal,Rock,2000
14,Kryptonite,3 Doors Down,The Better Life,84,11.0,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,0.00664,0.545,-5.708,0.543,0.865,0.168,99.009,False,1.1e-05,233933,"alternative metal, nu metal, post-grunge, rock",nu metal,Heavy Metal,2000
15,Lady - Hear Me Tonight,Modjo,Modjo (Remastered),81,12.0,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6,0.00793,0.72,-5.627,0.869,0.808,0.0634,126.041,False,0.0293,307154,"disco house, filter house",filter house,Electronic,2000
16,Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,80,14.0,https://open.spotify.com/track/5XVjNRubJUW0iPhhSWpLCj,0.00181,0.671,-6.149,0.787,0.882,0.285,136.955,False,0.667,214883,"bouncy house, eurodance",eurodance,EDM,2000
17,L'Amour Toujours,Gigi D'Agostino,L'Amour Toujours,78,1.0,https://open.spotify.com/track/52LJ3hyknOijCrE5gCD0rE,0.0771,0.638,-4.449,0.743,0.877,0.364,139.052,False,0.0221,242053,"eurodance, italo dance",italo dance,Dance,2000
18,Take A Look Around,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,78,15.0,https://open.spotify.com/track/2avKuMN2QXkaG9vvHa2JLt,0.0175,0.425,-5.607,0.512,0.852,0.0935,101.968,False,0.306,321040,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",funk metal,Rock,2000
19,Teenage Dirtbag,Wheatus,Wheatus,77,10.0,https://open.spotify.com/track/25FTMokYEbEWHEdss5JLZS,0.346,0.625,-3.904,0.633,0.85,0.174,94.661,True,0.000233,241667,"rock-and-roll, rockabilly",rockabilly,Rock,2000
